Fecha,DescripcionES,DescripcionEU,LugarES,LugarEU,Territorio,CodigoEustat,Latitud,Longitud,calendar-uri
2017-01-06,Epifanía del Señor,Jaunaren Agerkundea,CAV,EAE,Todos,,,,http://opendata.eurohelp.es/jaiegunak/Jaunaren-Agerkundea
2017-04-13,Jueves Santo,Ostegun Santua,CAV,EAE,Todos,,,,http://opendata.eurohelp.es/jaiegunak/Ostegun-Santua
2017-04-14,Viernes Santo,Ostiral Santua,CAV,EAE,Todos,,,,http://opendata.eurohelp.es/jaiegunak/Ostiral-Santua
2017-04-17,Lunes de Pascua de Resurrección,Pazko Astelehena,CAV,EAE,Todos,,,,http://opendata.eurohelp.es/jaiegunak/Pazko-Astelehena
2017-05-01,Fiesta del trabajo,Langileen eguna,CAV,EAE,Todos,,,,http://opendata.eurohelp.es/jaiegunak/Langileen-eguna
2017-07-25,Santiago Apóstol,Santiago apostolua,CAV,EAE,Todos,,,,http://opendata.eurohelp.es/jaiegunak/Santiago-apostolua
2017-08-15,Asunción de la Virgen,Ama Birjinaren Jasokundea,CAV,EAE,Todos,,,,http://opendata.eurohelp.es/jaiegunak/Ama-Birjinaren-Jasokundea
2017-10-12,Fiesta Nacional,Festa Nazionala,CAV,EAE,Todos,,,,http://opendata.eurohelp.es/jaiegunak/Festa-Nazionala
2017-11-01,Todos los Santos,Santu guztien eguna,CAV,EAE,Todos,,,,http://opendata.eurohelp.es/jaiegunak/Santu-guztien-eguna
2017-12-06,La Constitución,Konstituzioaren eguna,CAV,EAE,Todos,,,,http://opendata.eurohelp.es/jaiegunak/Konstituzioaren-eguna
2017-12-08,Inmaculada Concepción,Sorkundez Garbiaren eguna,CAV,EAE,Todos,,,,http://opendata.eurohelp.es/jaiegunak/Sorkundez-Garbiaren-eguna
2017-12-25,Natividad del Señor,Eguberri eguna,CAV,EAE,Todos,,,,http://opendata.eurohelp.es/jaiegunak/Eguberri-eguna
2017-07-31,San Ignacio de Loiola,Loiolako San Ignazio,Bizkaia,Bizkaia,Bizkaia,,,,http://opendata.eurohelp.es/jaiegunak/Loiolako-San-Ignazio
2017-07-31,San Ignacio de Loiola,Loiolako San Ignazio,Gipuzkoa,Gipuzkoa,Gipuzkoa,,,,http://opendata.eurohelp.es/jaiegunak/Loiolako-San-Ignazio
2017-04-28,San Prudencio,San Prudentzio,Álava/Araba,Álava/Araba,Álava/Araba,,,,http://opendata.eurohelp.es/jaiegunak/San-Prudentzio
2017-05-15,San Isidro,San Isidro,Abadiño,Abadiño,Bizkaia,1,43.15,-2.610278,http://opendata.eurohelp.es/jaiegunak/San-Isidro
2017-06-13,San Antonio,San Antonio,Abanto y Ciérvana,Abanto Zierbena,Bizkaia,2,43.316389,-3.083333,http://opendata.eurohelp.es/jaiegunak/San-Antonio
2017-05-25,La Ascensión,Asentzio Eguna,Ajangiz,Ajangiz,Bizkaia,911,43.301,-2.671,http://opendata.eurohelp.es/jaiegunak/Asentzio-Eguna
2017-08-24,San Bartolomé,San Bartolomé,Alonsotegi,Alonsotegi,Bizkaia,912,43.245186,-2.988701,http://opendata.eurohelp.es/jaiegunak/San-Bartolomé
2017-07-17,Virgen del Carmen,Karmengo Andra Mari,Amorebieta-Etxano,Amorebieta-Etxano,Bizkaia,3,43.226104,-2.712628,http://opendata.eurohelp.es/jaiegunak/Karmengo-Andra-Mari
2017-07-04,San Martín,Martin Deuna,Amoroto,Amoroto,Bizkaia,4,43.3285,-2.5125,http://opendata.eurohelp.es/jaiegunak/Martin-Deuna
2017-07-18,Santa Marina,Santa Mariñe,Arakaldo,Arakaldo,Bizkaia,5,43.14955,-2.925086,http://opendata.eurohelp.es/jaiegunak/Santa-Mariñe
2017-06-29,San Pedro,San Pedro,Arantzazu,Arantzazu,Bizkaia,6,43.152904,-2.79043,http://opendata.eurohelp.es/jaiegunak/San-Pedro
2017-08-24,San Bartolomé,Jaun Done Bartolome,Areatza,Areatza,Bizkaia,93,43.121079,-2.767771,http://opendata.eurohelp.es/jaiegunak/Jaun-Done-Bartolome
2017-06-29,San Pedro,San Pedro,Arrankudiaga,Arrankudiaga,Bizkaia,9,43.173503,-2.917886,http://opendata.eurohelp.es/jaiegunak/San-Pedro
2017-12-21,Santu Tomas,Santo Tomás,Arratzu,Arratzu,Bizkaia,914,43.311667,-2.638611,http://opendata.eurohelp.es/jaiegunak/Santo-Tomás
2017-09-08,Andra Mari,Andra Mari,Arrieta,Arrieta,Bizkaia,10,43.340362,-2.769799,http://opendata.eurohelp.es/jaiegunak/Andra-Mari
2017-07-22,La Magdalena,Madalena,Arrigorriaga,Arrigorriaga,Bizkaia,11,43.20752,-2.887839,http://opendata.eurohelp.es/jaiegunak/Madalena
2017-09-08,Andra Mari,Andra Mari,Artea,Artea,Bizkaia,23,43.133718,-2.784141,http://opendata.eurohelp.es/jaiegunak/Andra-Mari
2017-09-08,Ntra. Sra. De Traslaviña,Ntra. Sra. De Traslaviña,Artzentales,Artzentales,Bizkaia,8,43.240556,-3.241389,http://opendata.eurohelp.es/jaiegunak/Ntra--Sra--De-Traslaviña
2017-06-29,San Pedro,San Pedro,Atxondo,Atxondo,Bizkaia,91,43.130342,-2.585079,http://opendata.eurohelp.es/jaiegunak/San-Pedro
2017-06-23,San Juan,San Juan,Aulesti,Aulesti,Bizkaia,70,43.296084,-2.563355,http://opendata.eurohelp.es/jaiegunak/San-Juan
2017-09-29,San Miguel,Mikel Deuna,Bakio,Bakio,Bizkaia,12,43.427778,-2.811389,http://opendata.eurohelp.es/jaiegunak/Mikel-Deuna
2017-10-23,San Severino,Seberino deuna,Balmaseda,Balmaseda,Bizkaia,90,43.192866,-3.196942,http://opendata.eurohelp.es/jaiegunak/Seberino-deuna
2017-07-17,San Alejo,San Alejo,Barakaldo,Barakaldo,Bizkaia,13,43.297222,-2.991667,http://opendata.eurohelp.es/jaiegunak/San-Alejo
2017-02-03,San Blas,San Blas,Barrika,Barrika,Bizkaia,14,43.406384,-2.962425,http://opendata.eurohelp.es/jaiegunak/San-Blas
2017-10-13,San Fausto,San Fausto,Basauri,Basauri,Bizkaia,15,43.233333,-2.883333,http://opendata.eurohelp.es/jaiegunak/San-Fausto
2017-06-24,San Juan,San Juan,Bedia,Bedia,Bizkaia,92,43.209374,-2.804965,http://opendata.eurohelp.es/jaiegunak/San-Juan
2017-08-04,Santo Domingo de Guzmán,Guzmanezko Santu Domingo,Berango,Berango,Bizkaia,16,43.365899,-2.996356,http://opendata.eurohelp.es/jaiegunak/Guzmanezko-Santu-Domingo
2017-09-08,Almikako Andra Mari,Almikako Andra Mari,Bermeo,Bermeo,Bizkaia,17,43.420422,-2.722158,http://opendata.eurohelp.es/jaiegunak/Almikako-Andra-Mari
2017-05-09,San Gregorio,San Gregorio,Berriatua,Berriatua,Bizkaia,18,43.316667,-2.466667,http://opendata.eurohelp.es/jaiegunak/San-Gregorio
2017-06-29,San Pedro,San Pedro,Berriz,Berriz,Bizkaia,19,43.193923,-2.589165,http://opendata.eurohelp.es/jaiegunak/San-Pedro
2017-08-25,Viernes de la Semana Grande,Aste Nagusiko Ostirala,Bilbao,Bilbao,Bizkaia,20,43.256963,-2.923441,http://opendata.eurohelp.es/jaiegunak/Aste-Nagusiko-Ostirala
2017-07-10,San Cristóbal,San Kristobal,Busturia,Busturia,Bizkaia,21,43.383,-2.697,http://opendata.eurohelp.es/jaiegunak/San-Kristobal
2017-05-15,San Isidro Labrador,Isidor Nekazari Deuna,Derio,Derio,Bizkaia,901,43.302,-2.881833,http://opendata.eurohelp.es/jaiegunak/Isidor-Nekazari-Deuna
2017-06-29,San Pedro,San Pedro,Dima,Dima,Bizkaia,26,43.143389,-2.751464,http://opendata.eurohelp.es/jaiegunak/San-Pedro
2017-10-13,San Fausto,San Fausto,Durango,Durango,Bizkaia,27,43.169068,-2.632655,http://opendata.eurohelp.es/jaiegunak/San-Fausto
2017-08-24,San Bartolomé,San Bartolomé,Ea,Ea,Bizkaia,28,43.380135,-2.585593,http://opendata.eurohelp.es/jaiegunak/San-Bartolomé
2017-06-29,San Pedro,San Pedro,Elantxobe,Elantxobe,Bizkaia,31,43.403422,-2.6398,http://opendata.eurohelp.es/jaiegunak/San-Pedro
2017-07-04,San Valentín de Berri-Otxoa,Berrio-Otxoatar San Balendin,Elorrio,Elorrio,Bizkaia,32,43.130387,-2.542155,http://opendata.eurohelp.es/jaiegunak/Berrio-Otxoatar-San-Balendin
2017-08-28,San Agustín,Agustin Deuna,Erandio,Erandio,Bizkaia,902,43.307458,-2.946418,http://opendata.eurohelp.es/jaiegunak/Agustin-Deuna
2017-09-29,San Miguel,Mikel Deuna,Ereño,Ereño,Bizkaia,33,43.356944,-2.621667,http://opendata.eurohelp.es/jaiegunak/Mikel-Deuna
2017-07-27,Zezen eguna,Zezen eguna,Ermua,Ermua,Bizkaia,34,43.186642,-2.502607,http://opendata.eurohelp.es/jaiegunak/Zezen-eguna
2017-06-13,San Antonio,San Antonio,Errigoiti,Errigoiti,Bizkaia,79,43.318709,-2.725344,http://opendata.eurohelp.es/jaiegunak/San-Antonio
2017-12-26,San Esteban,Doneztebe,Etxebarri,Etxebarri,Bizkaia,29,43.247179,-2.890139,http://opendata.eurohelp.es/jaiegunak/Doneztebe
2017-11-30,San Andrés,Andres Deuna,Etxebarria,Etxebarria,Bizkaia,30,43.254146,-2.477354,http://opendata.eurohelp.es/jaiegunak/Andres-Deuna
2017-11-13,San Martin,Martin Deuna,Forua,Forua,Bizkaia,906,43.333712,-2.678589,http://opendata.eurohelp.es/jaiegunak/Martin-Deuna
2017-08-10,Fiesta local,Tokiko jai-eguna,Fruiz,Fruiz,Bizkaia,35,43.328889,-2.783333,http://opendata.eurohelp.es/jaiegunak/Tokiko-jai-eguna
2017-09-14,Exaltación de la Santa Cruz,Gurutze Santuaren Gorozpena,Galdakao,Galdakao,Bizkaia,36,43.230556,-2.845833,http://opendata.eurohelp.es/jaiegunak/Gurutze-Santuaren-Gorozpena
2017-06-29,San Pedro,San Pedro,Galdames,Galdames,Bizkaia,37,43.255,-3.096389,http://opendata.eurohelp.es/jaiegunak/San-Pedro
2017-11-11,San Antolín,San Antolin,Gamiz-Fika,Gamiz-Fika,Bizkaia,38,43.311728,-2.810701,http://opendata.eurohelp.es/jaiegunak/San-Antolin
2017-06-26,Santa Ana,Santa Ana,Garai,Garai,Bizkaia,39,43.194722,-2.609722,http://opendata.eurohelp.es/jaiegunak/Santa-Ana
2017-04-25,San Bartolomé,San Bartolome,Gatika,Gatika,Bizkaia,40,43.363889,-2.871944,http://opendata.eurohelp.es/jaiegunak/San-Bartolome
2017-01-26,San Polikarpo,San Polikarpo,Gautegiz Arteaga,Gautegiz Arteaga,Bizkaia,41,43.353104,-2.650985,http://opendata.eurohelp.es/jaiegunak/San-Polikarpo
2017-08-16,Roke Deuna,Roke Deuna,Gernika-Lumo,Gernika-Lumo,Bizkaia,46,43.317073,-2.678975,http://opendata.eurohelp.es/jaiegunak/Roke-Deuna
2017-05-15,San Isidro,Isidro Deuna,Getxo,Getxo,Bizkaia,44,43.344167,-3.006389,http://opendata.eurohelp.es/jaiegunak/Isidro-Deuna
2017-09-08,Andra Mari,Andra Mari,Gizaburuaga,Gizaburuaga,Bizkaia,47,43.33194,-2.536111,http://opendata.eurohelp.es/jaiegunak/Andra-Mari
2017-09-26,San Cosme y San Damián,San Kosme eta San Damian,Gordexola,Gordexola,Bizkaia,42,43.178611,-3.072778,http://opendata.eurohelp.es/jaiegunak/San-Kosme-eta-San-Damian
2017-08-05,Nª Sª de Agirre y de las Nieves,Edurne eta Agirreko Andra Mari,Gorliz,Gorliz,Bizkaia,43,43.416667,-2.933333,http://opendata.eurohelp.es/jaiegunak/Edurne-eta-Agirreko-Andra-Mari
2017-08-10,San Lorenzo,San Lorentzo,Güeñes,Güeñes,Bizkaia,45,43.210321,-3.095317,http://opendata.eurohelp.es/jaiegunak/San-Lorentzo
2017-06-15,Corpus Christi,Corpus Christi,Ibarrangelu,Ibarrangelu,Bizkaia,48,43.390215,-2.633802,http://opendata.eurohelp.es/jaiegunak/Corpus-Christi
2017-06-13,San Antonio,San Antonio,Igorre,Igorre,Bizkaia,94,43.165833,-2.776111,http://opendata.eurohelp.es/jaiegunak/San-Antonio
2017-07-26,Santa Ana,Santa Ana,Ispaster,Ispaster,Bizkaia,49,43.362954,-2.544635,http://opendata.eurohelp.es/jaiegunak/Santa-Ana
2017-09-29,San Miguel,San Migel,Iurreta,Iurreta,Bizkaia,910,43.176705,-2.633777,http://opendata.eurohelp.es/jaiegunak/San-Migel
2017-09-08,Nuestra Señora de Erdoiza,Erdoizako Andra Maria,Izurtza,Izurtza,Bizkaia,50,43.152273,-2.641978,http://opendata.eurohelp.es/jaiegunak/Erdoizako-Andra-Maria
2017-09-18,Nuestra Señora del Buen Suceso,Buen Sucesoko Ama,Valle de Carranza,Karrantza Harana,Bizkaia,22,43.225278,-3.359444,http://opendata.eurohelp.es/jaiegunak/Buen-Sucesoko-Ama
2017-07-26,Fiesta local,Tokiko jai-eguna,Kortezubi,Kortezubi,Bizkaia,907,43.335982,-2.654319,http://opendata.eurohelp.es/jaiegunak/Tokiko-jai-eguna
2017-08-05,Nª Sª de las Nieves,Edurneko Andra Mari,Lanestosa,Lanestosa,Bizkaia,51,43.221169,-3.439148,http://opendata.eurohelp.es/jaiegunak/Edurneko-Andra-Mari
2017-05-15,San Isidro Labrador,San Isidro baserritar,Larrabetzu,Larrabetzu,Bizkaia,52,43.260973,-2.796175,http://opendata.eurohelp.es/jaiegunak/San-Isidro-baserritar
2017-09-29,San Miguel,Mikel Deuna,Laukiz,Laukiz,Bizkaia,53,43.353333,-2.906111,http://opendata.eurohelp.es/jaiegunak/Mikel-Deuna
2017-06-24,San Juan,San Juan,Leioa,Leioa,Bizkaia,54,43.326097,-2.987704,http://opendata.eurohelp.es/jaiegunak/San-Juan
2017-09-02,San Antolín,San Antolín,Lekeitio,Lekeitio,Bizkaia,57,43.365509,-2.503344,http://opendata.eurohelp.es/jaiegunak/San-Antolín
2017-09-08,Andra Maria,Andra Mari,Lemoa,Lemoa,Bizkaia,55,43.208759,-2.774116,http://opendata.eurohelp.es/jaiegunak/Andra-Mari
2017-10-17,Fiesta local,Tokiko jai-eguna,Lemoiz,Lemoiz,Bizkaia,56,43.413244,-2.902253,http://opendata.eurohelp.es/jaiegunak/Tokiko-jai-eguna
2017-09-08,Andra Maria,Andra Maria,Lezama,Lezama,Bizkaia,81,43.272167,-2.832167,http://opendata.eurohelp.es/jaiegunak/Andra-Maria
2017-06-29,San Pedro,San Pedro,Loiu,Loiu,Bizkaia,903,43.315,-2.938333,http://opendata.eurohelp.es/jaiegunak/San-Pedro
2017-03-01,Miércoles de Ceniza,Hausterre eguna,Mallabia,Mallabia,Bizkaia,58,43.189651,-2.529969,http://opendata.eurohelp.es/jaiegunak/Hausterre-eguna
2017-10-21,Santa Ursula,Santa Urtsula,Mañaria,Mañaria,Bizkaia,59,43.137485,-2.661135,http://opendata.eurohelp.es/jaiegunak/Santa-Urtsula
2017-09-29,San Miguel,Mikel Deuna,Markina-Xemein,Markina-Xemein,Bizkaia,60,43.270604,-2.497155,http://opendata.eurohelp.es/jaiegunak/Mikel-Deuna
2017-08-10,San Lorenzo,San Lorentzo jai-eguna,Maruri-Jatabe,Maruri-Jatabe,Bizkaia,61,43.382772,-2.874989,http://opendata.eurohelp.es/jaiegunak/San-Lorentzo-jai-eguna
2017-09-29,San Miguel,San Migel,Mendata,Mendata,Bizkaia,62,43.283333,-2.633333,http://opendata.eurohelp.es/jaiegunak/San-Migel
2017-08-01,San Pedro Ad Vincula,San Pedro Ad Vincula,Mendexa,Mendexa,Bizkaia,63,43.346389,-2.483333,http://opendata.eurohelp.es/jaiegunak/San-Pedro-Ad-Vincula
2017-08-16,San Roque,San Roke eguna,Meñaka,Meñaka,Bizkaia,64,43.364464,-2.801795,http://opendata.eurohelp.es/jaiegunak/San-Roke-eguna
2017-07-26,Santa Ana,Santa Ana,Morga,Morga,Bizkaia,66,43.297932,-2.752739,http://opendata.eurohelp.es/jaiegunak/Santa-Ana
2017-06-29,San Pedro y San Pablo,San Pedro eta San Pablo,Mundaka,Mundaka,Bizkaia,68,43.407335,-2.698322,http://opendata.eurohelp.es/jaiegunak/San-Pedro-eta-San-Pablo
2017-06-29,San Pedro,San Pedro,Mungia,Mungia,Bizkaia,69,43.35441,-2.846714,http://opendata.eurohelp.es/jaiegunak/San-Pedro
2017-06-29,San Pedro,San Pedro,Munitibar-Arbatzegi Gerrikaitz,Munitibar-Arbatzegi Gerrikaitz,Bizkaia,7,43.265332,-2.591845,http://opendata.eurohelp.es/jaiegunak/San-Pedro
2017-09-08,Andra Maria,Andra Mari,Murueta,Murueta,Bizkaia,908,43.354463,-2.684153,http://opendata.eurohelp.es/jaiegunak/Andra-Mari
2017-06-24,San Juan,San Juan,Muskiz,Muskiz,Bizkaia,71,43.323333,-3.121667,http://opendata.eurohelp.es/jaiegunak/San-Juan
2017-10-30,Ultimo lunes de octubre,Urriako azken astelehena,Muxika,Muxika,Bizkaia,67,43.289668,-2.692941,http://opendata.eurohelp.es/jaiegunak/Urriako-azken-astelehena
2017-09-08,Andra Maria,Andra Maria,Nabarniz,Nabarniz,Bizkaia,909,43.321597,-2.5844,http://opendata.eurohelp.es/jaiegunak/Andra-Maria
2017-08-17,Día del pescador,Arrantzale eguna,Ondarroa,Ondarroa,Bizkaia,73,43.320698,-2.420475,http://opendata.eurohelp.es/jaiegunak/Arrantzale-eguna
2017-09-02,San Antolin,Antolin Deuna,Orozko,Orozko,Bizkaia,75,43.108611,-2.911111,http://opendata.eurohelp.es/jaiegunak/Antolin-Deuna
2017-05-18,San Félix de Cantalicio,Kantalizioko San Felix,Ortuella,Ortuella,Bizkaia,83,43.31137,-3.055952,http://opendata.eurohelp.es/jaiegunak/Kantalizioko-San-Felix
