Fecha,DescripcionES,DescripcionEU,LugarES,LugarEU,Territorio,CodigoEustat,Latitud,Longitud,calendar-uri
2017-07-18,Fiesta local,Tokiko jaieguna,Otxandio,Otxandio,Bizkaia,72,43.040447,-2.654584,http://opendata.eurohelp.es/jaiegunak/Tokiko-jaieguna
2017-07-21,La Magdalena,Madalen,Plentzia,Plentzia,Bizkaia,77,43.40443,-2.950102,http://opendata.eurohelp.es/jaiegunak/Madalen
2017-08-16,San Roke,Roke Deuna,Portugalete,Portugalete,Bizkaia,78,43.320664,-3.020252,http://opendata.eurohelp.es/jaiegunak/Roke-Deuna
2017-09-08,Virgen del Mar,Itsasoko Ama Birjina,Santurtzi,Santurtzi,Bizkaia,82,43.328711,-3.031772,http://opendata.eurohelp.es/jaiegunak/Itsasoko-Ama-Birjina
2017-06-29,San Pedro Apostol,San Pedro Apostol,Sestao,Sestao,Bizkaia,84,43.309635,-3.00694,http://opendata.eurohelp.es/jaiegunak/San-Pedro-Apostol
2017-06-24,San Juan,San Juan,Sondika,Sondika,Bizkaia,904,43.300063,-2.927103,http://opendata.eurohelp.es/jaiegunak/San-Juan
2017-06-29,San Pedro,San Pedro,Sopelana,Sopelana,Bizkaia,85,43.378918,-2.983002,http://opendata.eurohelp.es/jaiegunak/San-Pedro
2017-07-26,Santa Ana,Santa Ana,Sopuerta,Sopuerta,Bizkaia,86,43.262778,-3.1525,http://opendata.eurohelp.es/jaiegunak/Santa-Ana
2017-11-30,San Andrés,San Andres,Sukarrieta,Sukarrieta,Bizkaia,76,43.395342,-2.696367,http://opendata.eurohelp.es/jaiegunak/San-Andres
2017-06-29,San Pedro,San Pedro,Trucios-Turtzioz,Trucios-Turtzioz,Bizkaia,87,43.272678,-3.288545,http://opendata.eurohelp.es/jaiegunak/San-Pedro
2017-06-24,San Juan,San Juan,Ubide,Ubide,Bizkaia,88,43.026832,-2.688209,http://opendata.eurohelp.es/jaiegunak/San-Juan
2017-09-08,Nuestra Señora de Udiarraga,Udiarragako Andra Maria,Ugao-Miraballes,Ugao-Miraballes,Bizkaia,65,43.179989,-2.902508,http://opendata.eurohelp.es/jaiegunak/Udiarragako-Andra-Maria
2017-09-08,Andra Maria,Andra Maria,Urduliz,Urduliz,Bizkaia,89,43.379667,-2.962,http://opendata.eurohelp.es/jaiegunak/Andra-Maria
2017-05-08,Otxomaio,Otxomaio,Urduña/Orduña,Urduña/Orduña,Bizkaia,74,42.994449,-3.009622,http://opendata.eurohelp.es/jaiegunak/Otxomaio
2017-08-07,Transfiguración del Señor,Jaungoikoaren antzaldatzea,Valle de Trápaga-Trapagaran,Valle de Trápaga-Trapagaran,Bizkaia,80,43.303108,-3.035548,http://opendata.eurohelp.es/jaiegunak/Jaungoikoaren-antzaldatzea
2017-07-07,Fiesta local,Tokiko jaieguna,Zaldibar,Zaldibar,Bizkaia,95,43.17097,-2.54713,http://opendata.eurohelp.es/jaiegunak/Tokiko-jaieguna
2017-10-03,Día de Gangas,Mahuka Eguna,Zalla,Zalla,Bizkaia,96,43.214009,-3.135223,http://opendata.eurohelp.es/jaiegunak/Mahuka-Eguna
2017-06-05,Pentecostes,Pentecostés,Zamudio,Zamudio,Bizkaia,905,43.283333,-2.866667,http://opendata.eurohelp.es/jaiegunak/Pentecostés
2017-08-10,San Lorenzo,San Lorentzo,Zaratamo,Zaratamo,Bizkaia,97,43.211505,-2.873626,http://opendata.eurohelp.es/jaiegunak/San-Lorentzo
2017-05-15,San Isidro,San Isidro,Zeanuri,Zeanuri,Bizkaia,24,43.099664,-2.749615,http://opendata.eurohelp.es/jaiegunak/San-Isidro
2017-09-02,San Antolín,San Antolin,Zeberio,Zeberio,Bizkaia,25,43.152778,-2.852778,http://opendata.eurohelp.es/jaiegunak/San-Antolin
2017-10-16,Día de la Independencia de Zierbena,Zierbenako Independentziaren Eguna,Zierbena,Zierbena,Bizkaia,913,43.347655,-3.086152,http://opendata.eurohelp.es/jaiegunak/Zierbenako-Independentziaren-Eguna
2017-06-24,San Juan,San Juan,Ziortza-Bolibar,Ziortza-Bolibar,Bizkaia,915,43.24982,-2.550174,http://opendata.eurohelp.es/jaiegunak/San-Juan
2017-06-24,San Juan,San Juan,Abaltzisketa,Abaltzisketa,Gipuzkoa,1,43.047582,-2.105388,http://opendata.eurohelp.es/jaiegunak/San-Juan
2017-08-14,Fiestas de la Virgen,Ama Birjin jaiak,Aduna,Aduna,Gipuzkoa,2,43.203792,-2.050079,http://opendata.eurohelp.es/jaiegunak/Ama-Birjin-jaiak
2017-08-07,San Donato,San Donato,Aia,Aia,Gipuzkoa,16,43.236922,-2.149008,http://opendata.eurohelp.es/jaiegunak/San-Donato
2017-09-29,San Miguel,San Migel,Aizarnazabal,Aizarnazabal,Gipuzkoa,3,43.255405,-2.236461,http://opendata.eurohelp.es/jaiegunak/San-Migel
2017-08-14,Asunción de la Virgen,Jasokundeko Andra Mariren jaiak,Albiztur,Albiztur,Gipuzkoa,4,43.129723,-2.13718,http://opendata.eurohelp.es/jaiegunak/Jasokundeko-Andra-Mariren-jaiak
2017-07-14,La Virgen del Carmen,Karmen eguna,Alegia,Alegia,Gipuzkoa,5,43.100017,-2.096273,http://opendata.eurohelp.es/jaiegunak/Karmen-eguna
2017-09-08,Zaindariaren jaiak,Zaindariaren jaiak,Alkiza,Alkiza,Gipuzkoa,6,43.172434,-2.109436,http://opendata.eurohelp.es/jaiegunak/Zaindariaren-jaiak
2017-09-29,San Miguel,San Migel,Altzaga,Altzaga,Gipuzkoa,906,43.06449,-2.153833,http://opendata.eurohelp.es/jaiegunak/San-Migel
2017-02-27,Lunes Carnaval,Iñauterietako astelehena,Altzo,Altzo,Gipuzkoa,7,43.100072,-2.083905,http://opendata.eurohelp.es/jaiegunak/Iñauterietako-astelehena
2017-08-24,San Bartolome,San Bartolome,Amezketa,Amezketa,Gipuzkoa,8,43.044517,-2.083235,http://opendata.eurohelp.es/jaiegunak/San-Bartolome
2017-06-24,San Juan,San Juan,Andoain,Andoain,Gipuzkoa,9,43.22048,-2.021122,http://opendata.eurohelp.es/jaiegunak/San-Juan
2017-06-15,Corpus Christi,Gorpuzti-eguna,Anoeta,Anoeta,Gipuzkoa,10,43.161467,-2.070695,http://opendata.eurohelp.es/jaiegunak/Gorpuzti-eguna
2017-07-14,Viernes anterior al 3er domingo julio,Uztailaren 3. igandearen aurreko ostirala,Antzuola,Antzuola,Gipuzkoa,11,43.099441,-2.381747,http://opendata.eurohelp.es/jaiegunak/Uztailaren-3--igandearen-aurreko-ostirala
2017-11-11,San Martín,San Martin,Arama,Arama,Gipuzkoa,12,43.063637,-2.165558,http://opendata.eurohelp.es/jaiegunak/San-Martin
2017-08-16,Andra Mari,Andramaixak,Aretxabaleta,Aretxabaleta,Gipuzkoa,13,43.036248,-2.504542,http://opendata.eurohelp.es/jaiegunak/Andramaixak
2017-06-24,San Juan,San Juan,Mondragón,Arrasate,Gipuzkoa,55,43.066517,-2.487562,http://opendata.eurohelp.es/jaiegunak/San-Juan
2017-06-29,San Pedro,San Pedro,Asteasu,Asteasu,Gipuzkoa,14,43.195198,-2.097548,http://opendata.eurohelp.es/jaiegunak/San-Pedro
2017-07-26,Santa Ana,Santa Ana,Astigarraga,Astigarraga,Gipuzkoa,903,43.280652,-1.94756,http://opendata.eurohelp.es/jaiegunak/Santa-Ana
2017-11-11,San Martín,San Martín,Ataun/Bº San Martin,Ataun/San Martin auzoa,Gipuzkoa,15,43.00548,-2.17662,http://opendata.eurohelp.es/jaiegunak/San-Martín
2017-09-01,San Gregorio,San Gregorio,Ataun/Bº San Gregorio,Ataun/San Gregorio auzoa,Gipuzkoa,15,42.978091,-2.180286,http://opendata.eurohelp.es/jaiegunak/San-Gregorio
2017-06-30,Viernes anterior a Santa Isabel,Santa Isabel aurreko ostirala,Ataun/Bº de Aia,Ataun/Aia auzoa,Gipuzkoa,15,42.966249,-2.15433,http://opendata.eurohelp.es/jaiegunak/Santa-Isabel-aurreko-ostirala
2017-11-30,San Andrés,San Andres,Azkoitia,Azkoitia,Gipuzkoa,17,43.178205,-2.31164,http://opendata.eurohelp.es/jaiegunak/San-Andres
2017-01-20,San Sebastián,San Sebastian,Azpeitia,Azpeitia,Gipuzkoa,18,43.1839,-2.265466,http://opendata.eurohelp.es/jaiegunak/San-Sebastian
2017-05-15,San Isidro,San Isidro,Baliarrain,Baliarrain,Gipuzkoa,904,43.069306,-2.129235,http://opendata.eurohelp.es/jaiegunak/San-Isidro
2017-05-29,San Martin de Loinaz,Loinatz bigarrena,Beasain,Beasain,Gipuzkoa,19,43.047076,-2.204605,http://opendata.eurohelp.es/jaiegunak/Loinatz-bigarrena
2017-06-29,San Pedro,San Pedro,Beizama,Beizama,Gipuzkoa,20,43.134191,-2.200113,http://opendata.eurohelp.es/jaiegunak/San-Pedro
2017-06-23,Víspera de San Juan,San Juan bezpera,Belaunza,Belaunza,Gipuzkoa,21,43.135283,-2.050705,http://opendata.eurohelp.es/jaiegunak/San-Juan-bezpera
2017-08-10,San Lorenzo,San Lorentzo,Berastegi,Berastegi,Gipuzkoa,22,43.124029,-1.979426,http://opendata.eurohelp.es/jaiegunak/San-Lorentzo
2017-09-16,San Martín de Agirre,San Martin Agirre,Bergara,Bergara,Gipuzkoa,74,43.118217,-2.413358,http://opendata.eurohelp.es/jaiegunak/San-Martin-Agirre
2017-08-28,San Agustín,San Agustin,Berrobi,Berrobi,Gipuzkoa,23,43.145479,-2.026374,http://opendata.eurohelp.es/jaiegunak/San-Agustin
2017-08-16,La Virgen,Ama Birjina,Bidegoian /Goiatz,Bidegoian /Goiatz,Gipuzkoa,24,43.142086,-2.167475,http://opendata.eurohelp.es/jaiegunak/Ama-Birjina
2017-08-24,San Bartolomé,San Bartolome,Bidegoian/Bidania,Bidegoian/Bidania,Gipuzkoa,24,43.139399,-2.159979,http://opendata.eurohelp.es/jaiegunak/San-Bartolome
2017-08-16,San Roque,San Roke,Deba,Deba,Gipuzkoa,29,43.295562,-2.353894,http://opendata.eurohelp.es/jaiegunak/San-Roke
2017-01-20,San Sebastián,San Sebastian,San Sebastián,Donostia,Gipuzkoa,69,43.321874,-1.98552,http://opendata.eurohelp.es/jaiegunak/San-Sebastian
2017-06-24,San Juan,San Juan,Eibar,Eibar,Gipuzkoa,30,43.18418,-2.473289,http://opendata.eurohelp.es/jaiegunak/San-Juan
2017-09-08,La Natividad de la Virgen,Birjinaren jaiotza,Elduaien,Elduaien,Gipuzkoa,31,43.140712,-2.000488,http://opendata.eurohelp.es/jaiegunak/Birjinaren-jaiotza
2017-06-30,Viernes fiestas Feria Principal,Ferixa Nagusiko jaietako ostirala,Elgeta,Elgeta,Gipuzkoa,33,43.136572,-2.487392,http://opendata.eurohelp.es/jaiegunak/Ferixa-Nagusiko-jaietako-ostirala
2017-01-17,San Antón,San Anton,Elgoibar,Elgoibar,Gipuzkoa,32,43.215187,-2.415702,http://opendata.eurohelp.es/jaiegunak/San-Anton
2017-07-22,María Magdalena,Madalena,Errenteria,Errenteria,Gipuzkoa,67,43.312752,-1.899633,http://opendata.eurohelp.es/jaiegunak/Madalena
2017-06-13,Fiesta local,Tokiko jaieguna,Errezil,Errezil,Gipuzkoa,66,43.164674,-2.173594,http://opendata.eurohelp.es/jaiegunak/Tokiko-jaieguna
2017-06-29,San Pedro,San Pedro,Eskoriatza,Eskoriatza,Gipuzkoa,34,43.017074,-2.52698,http://opendata.eurohelp.es/jaiegunak/San-Pedro
2017-05-08,Aparicion de S. Miguel,S. Migelen Ageraldia,Ezkio-Itsaso/Ezkio,Ezkio-Itsaso/Ezkio,Gipuzkoa,35,43.080484,-2.275421,http://opendata.eurohelp.es/jaiegunak/S--Migelen-Ageraldia
2017-06-29,San Pedro,San Pedro,Ezkio-Itsaso/Sta. Lutzi-Anduaga,Ezkio-Itsaso/Sta. Lutzi-Anduaga,Gipuzkoa,35,43.064321,-2.274735,http://opendata.eurohelp.es/jaiegunak/San-Pedro
2017-07-22,Maria Madalena,Madalena,Ezkio-Itsaso/Alegia,Ezkio-Itsaso/Alegia,Gipuzkoa,35,43.058055,-2.268215,http://opendata.eurohelp.es/jaiegunak/Madalena
2017-02-05,Santa Ageda,Ageda Donea,Ezkio-Itsaso/Matxinbenta,Ezkio-Itsaso/Matxinbenta,Gipuzkoa,35,43.072544,-2.257418,http://opendata.eurohelp.es/jaiegunak/Ageda-Donea
2017-08-16,San Roque,San Roke,Gabiria,Gabiria,Gipuzkoa,38,43.049689,-2.279856,http://opendata.eurohelp.es/jaiegunak/San-Roke
2017-09-29,San Miguel,San Migel,Gaintza,Gaintza,Gipuzkoa,37,43.052629,-2.13237,http://opendata.eurohelp.es/jaiegunak/San-Migel
2017-08-14,La Virgen,Andra Mari,Gaztelu,Gaztelu,Gipuzkoa,907,43.116579,-2.022278,http://opendata.eurohelp.es/jaiegunak/Andra-Mari
2017-08-07,San Salvador,Salbatore Deuna,Getaria,Getaria,Gipuzkoa,39,43.303261,-2.204363,http://opendata.eurohelp.es/jaiegunak/Salbatore-Deuna
2017-06-24,San Juan,San Juan,Hernani,Hernani,Gipuzkoa,40,43.267549,-1.975814,http://opendata.eurohelp.es/jaiegunak/San-Juan
2017-08-16,La Virgen,Andra Mari,Hernialde,Hernialde,Gipuzkoa,41,43.154467,-2.085025,http://opendata.eurohelp.es/jaiegunak/Andra-Mari
2017-09-08,Virgen de Guadalupe,Ama Guadalupekoa,Hondarribia,Hondarribia,Gipuzkoa,36,43.362531,-1.791498,http://opendata.eurohelp.es/jaiegunak/Ama-Guadalupekoa
2017-08-24,San Bartolomé,San Bartolome,Ibarra,Ibarra,Gipuzkoa,42,43.132345,-2.065462,http://opendata.eurohelp.es/jaiegunak/San-Bartolome
2017-02-03,San Blas,San Blas biharamuna,Idiazabal,Idiazabal,Gipuzkoa,43,43.011782,-2.234214,http://opendata.eurohelp.es/jaiegunak/San-Blas-biharamuna
2017-08-10,San Lorenzo,San Lorentzo,Ikaztegieta,Ikaztegieta,Gipuzkoa,44,43.09496,-2.1239,http://opendata.eurohelp.es/jaiegunak/San-Lorentzo
2017-06-30,San Marcial,San Martzial,Irun,Irun,Gipuzkoa,45,43.338233,-1.789272,http://opendata.eurohelp.es/jaiegunak/San-Martzial
2017-09-29,San Miguel,San Migel,Irura,Irura,Gipuzkoa,46,43.165688,-2.069616,http://opendata.eurohelp.es/jaiegunak/San-Migel
2017-09-22,Fiestas de septiembre,Iraileko jaiak,Itsasondo,Itsasondo,Gipuzkoa,47,43.066932,-2.167393,http://opendata.eurohelp.es/jaiegunak/Iraileko-jaiak
2017-08-03,San Esteban,San Esteban,Larraul,Larraul,Gipuzkoa,48,43.187739,-2.102534,http://opendata.eurohelp.es/jaiegunak/San-Esteban
2017-06-29,San Pedro,San Pedro,Lasarte,Lasarte,Gipuzkoa,902,43.267455,-2.020179,http://opendata.eurohelp.es/jaiegunak/San-Pedro
2017-04-28,San Prudencio,San Prudentzio,Lazkao,Lazkao,Gipuzkoa,49,43.034324,-2.187379,http://opendata.eurohelp.es/jaiegunak/San-Prudentzio
2017-06-29,San Pedro,San Pedro,Leaburu,Leaburu,Gipuzkoa,50,43.124984,-2.052106,http://opendata.eurohelp.es/jaiegunak/San-Pedro
2017-05-03,Santa Cruz,Santikutz,Legazpi,Legazpi,Gipuzkoa,51,43.054361,-2.333641,http://opendata.eurohelp.es/jaiegunak/Santikutz
2017-05-25,La Ascensión,Azintzio eguna,Legorreta,Legorreta,Gipuzkoa,52,43.085794,-2.150909,http://opendata.eurohelp.es/jaiegunak/Azintzio-eguna
2017-09-08,Virgen de Dorleta,Dorletako Ama Birjina,Leintz-Gatzaga,Leintz-Gatzaga,Gipuzkoa,68,42.987112,-2.568626,http://opendata.eurohelp.es/jaiegunak/Dorletako-Ama-Birjina
2017-09-14,Exaltación de la Sta Cruz,Gurutze Santuaren Gorespena,Lezo,Lezo,Gipuzkoa,53,43.321127,-1.898775,http://opendata.eurohelp.es/jaiegunak/Gurutze-Santuaren-Gorespena
2017-09-08,Fiesta local,Tokiko jaieguna,Lizartza,Lizartza,Gipuzkoa,54,43.10372,-2.034254,http://opendata.eurohelp.es/jaiegunak/Tokiko-jaieguna
2017-07-26,Santa Ana,Santa Ana,Mendaro,Mendaro,Gipuzkoa,901,43.264167,-2.3755,http://opendata.eurohelp.es/jaiegunak/Santa-Ana
2017-06-29,San Pedro,San Pedro,Mutiloa,Mutiloa,Gipuzkoa,57,43.02238,-2.272826,http://opendata.eurohelp.es/jaiegunak/San-Pedro
2017-09-14,Maria Madalena,Madalena,Mutriku,Mutriku,Gipuzkoa,56,43.307069,-2.385083,http://opendata.eurohelp.es/jaiegunak/Madalena
2017-08-03,San Esteban,Doneztebe,Oiartzun,Oiartzun,Gipuzkoa,63,43.299282,-1.857874,http://opendata.eurohelp.es/jaiegunak/Doneztebe
2017-06-24,San Juan,San Juan,Olaberria,Olaberria,Gipuzkoa,58,43.027075,-2.203089,http://opendata.eurohelp.es/jaiegunak/San-Juan
2017-09-29,San Miguel,San Migel,Oñati,Oñati,Gipuzkoa,59,43.032888,-2.411348,http://opendata.eurohelp.es/jaiegunak/San-Migel
2017-07-26,Santa Ana,Santa Ana,Ordizia,Ordizia,Gipuzkoa,76,43.054198,-2.178115,http://opendata.eurohelp.es/jaiegunak/Santa-Ana
2017-01-20,San Sebastián,San Sebastian,Orendain,Orendain,Gipuzkoa,905,43.079721,-2.11429,http://opendata.eurohelp.es/jaiegunak/San-Sebastian
2017-05-03,Santa Cruz,Santa Kruz,Orexa,Orexa,Gipuzkoa,60,43.093881,-2.011392,http://opendata.eurohelp.es/jaiegunak/Santa-Kruz
2017-06-29,San Pedro,San Pedro,Orio,Orio,Gipuzkoa,61,43.278323,-2.126597,http://opendata.eurohelp.es/jaiegunak/San-Pedro
2017-11-30,San Andrés,San Andres,Ormaiztegi,Ormaiztegi,Gipuzkoa,62,43.042735,-2.255848,http://opendata.eurohelp.es/jaiegunak/San-Andres
2017-07-07,San Fermín,San Fermin,Pasai Antxo,Pasai Antxo,Gipuzkoa,64,43.317534,-1.917562,http://opendata.eurohelp.es/jaiegunak/San-Fermin
